time,open,high,low,close
2019-01-06 22:00:00,138.091,138.179,138.011,138.02
2019-01-06 22:30:00,138.02,138.084,137.922,138.07399999999998
2019-01-06 23:00:00,138.07399999999998,138.30200000000002,137.935,138.273
2019-01-06 23:30:00,138.273,138.334,138.168,138.21
2019-01-07 00:00:00,138.21,138.254,138.099,138.22799999999998
2019-01-07 00:30:00,138.22799999999998,138.281,138.15,138.15
2019-01-07 01:00:00,138.15,138.234,138.10399999999998,138.222
2019-01-07 01:30:00,138.222,138.286,138.03,138.09
2019-01-07 02:00:00,138.09,138.105,137.967,138.048
2019-01-07 02:30:00,138.048,138.072,137.93,137.93
2019-01-07 03:00:00,137.93,137.976,137.748,137.836
2019-01-07 03:30:00,137.836,137.88,137.774,137.864
2019-01-07 04:00:00,137.864,137.988,137.724,137.869
2019-01-07 04:30:00,137.869,138.036,137.862,138.036
2019-01-07 05:00:00,138.036,138.054,137.97,138.04
2019-01-07 05:30:00,138.04,138.04,137.856,137.93200000000002
2019-01-07 06:00:00,137.93200000000002,138.02200000000002,137.856,137.95
2019-01-07 06:30:00,137.95,138.006,137.852,137.935
2019-01-07 07:00:00,137.935,137.935,137.774,137.922
2019-01-07 07:30:00,137.922,137.998,137.876,137.928
2019-01-07 08:00:00,137.928,137.936,137.683,137.86
2019-01-07 08:30:00,137.86,137.891,137.616,137.71
2019-01-07 09:00:00,137.71,137.888,137.681,137.713
2019-01-07 09:30:00,137.713,138.102,137.688,137.95600000000002
2019-01-07 10:00:00,137.95600000000002,137.961,137.796,137.858
2019-01-07 10:30:00,137.858,137.98,137.808,137.946
2019-01-07 11:00:00,137.946,138.125,137.942,137.988
2019-01-07 11:30:00,137.988,138.214,137.983,138.204
2019-01-07 12:00:00,138.204,138.21,138.106,138.128
2019-01-07 12:30:00,138.128,138.14600000000002,137.976,138.007
2019-01-07 13:00:00,138.007,138.23,137.97799999999998,138.22299999999998
2019-01-07 13:30:00,138.22299999999998,138.382,138.154,138.322
2019-01-07 14:00:00,138.322,138.408,138.268,138.27200000000002
2019-01-07 14:30:00,138.27200000000002,138.401,138.168,138.375
2019-01-07 15:00:00,138.375,138.656,138.278,138.578
2019-01-07 15:30:00,138.578,138.687,138.346,138.49200000000002
2019-01-07 16:00:00,138.49200000000002,138.579,138.338,138.403
2019-01-07 16:30:00,138.403,138.61700000000002,138.369,138.57
2019-01-07 17:00:00,138.57,138.747,138.54399999999998,138.702
2019-01-07 17:30:00,138.702,138.774,138.611,138.738
2019-01-07 18:00:00,138.738,138.868,138.719,138.80200000000002
2019-01-07 18:30:00,138.80200000000002,138.82399999999998,138.532,138.622
2019-01-07 19:00:00,138.622,138.708,138.59,138.622
2019-01-07 19:30:00,138.622,138.704,138.589,138.681
2019-01-07 20:00:00,138.681,138.829,138.664,138.829
2019-01-07 20:30:00,138.829,138.874,138.762,138.816
2019-01-07 21:00:00,138.816,138.819,138.741,138.815
2019-01-07 21:30:00,138.815,138.951,138.80100000000002,138.906
2019-01-07 22:00:00,138.906,138.964,138.859,138.918
2019-01-07 22:30:00,138.918,138.974,138.915,138.92600000000002
2019-01-07 23:00:00,138.92600000000002,138.966,138.878,138.887
2019-01-07 23:30:00,138.887,138.96,138.84,138.888
2019-01-08 00:00:00,138.888,139.018,138.868,138.924
2019-01-08 00:30:00,138.924,139.017,138.895,138.94899999999998
2019-01-08 01:00:00,138.94899999999998,138.976,138.678,138.743
2019-01-08 01:30:00,138.743,138.754,138.54399999999998,138.585
2019-01-08 02:00:00,138.585,138.694,138.558,138.67
2019-01-08 02:30:00,138.67,138.87,138.666,138.84799999999998
2019-01-08 03:00:00,138.84799999999998,138.89600000000002,138.734,138.738
2019-01-08 03:30:00,138.738,138.976,138.685,138.914
2019-01-08 04:00:00,138.914,139.018,138.908,138.98
2019-01-08 04:30:00,138.98,139.09,138.94899999999998,139.067
2019-01-08 05:00:00,139.067,139.093,138.936,138.938
2019-01-08 05:30:00,138.938,138.96200000000002,138.847,138.85
2019-01-08 06:00:00,138.85,139.078,138.79399999999998,139.034
2019-01-08 06:30:00,139.034,139.059,138.96,139.034
2019-01-08 07:00:00,139.034,139.442,138.936,139.22899999999998
2019-01-08 07:30:00,139.22899999999998,139.32399999999998,139.054,139.088
2019-01-08 08:00:00,139.088,139.105,138.851,139.067
2019-01-08 08:30:00,139.067,139.211,138.998,139.178
2019-01-08 09:00:00,139.178,139.28799999999998,138.982,139.114
